¿¹Ãø ½Â·ü,½ÇÁ¦ ½Â·ü,¿ÀÂ÷,,,
47.2%,46.9%,0.3%,,,
51.1%,54.7%,3.6%,,,
42.3%,46.1%,3.8%,,,
47.5%,50.4%,2.9%,,,
43.3%,52.0%,8.7%,,,
33.6%,26.5%,7.1%,,,
55.5%,61.1%,5.6%,,,
62.7%,58.9%,3.8%,,,
54.4%,60.9%,6.5%,,,
51.0%,50.8%,0.2%,,,
41.4%,43.5%,2.1%,,,
44.5%,49.2%,4.7%,,,
43.9%,45.8%,1.9%,,,
37.7%,30.0%,7.7%,,,
51.9%,58.6%,6.7%,,,
54.1%,52.3%,1.8%,,,
53.2%,58.4%,5.2%,,,
50.3%,48.8%,1.5%,,,
45.6%,41.7%,3.9%,,,
49.2%,53.0%,3.8%,,,
46.8%,45.7%,1.1%,,,
43.3%,41.0%,2.3%,,,
49.8%,51.2%,1.4%,,,
53.1%,60.6%,7.5%,,,
47.3%,58.3%,11.0%,,,
48.5%,43.0%,5.5%,,,
51.8%,43.2%,8.6%,,,
53.3%,58.5%,5.2%,,,
48.0%,39.1%,8.9%,,,
42.9%,46.3%,3.4%,,,
50.2%,56.0%,5.8%,,,
44.4%,54.0%,9.6%,,,
42.9%,48.0%,5.1%,,,
52.4%,59.3%,6.9%,,,
45.3%,52.0%,6.7%,,,
43.2%,51.2%,8.0%,,,
43.8%,40.7%,3.1%,,,
41.4%,38.5%,2.9%,,,
53.2%,60.3%,7.1%,,,
51.6%,56.5%,4.9%,,,
43.9%,48.3%,4.4%,,,
42.9%,44.7%,1.8%,,,
44.5%,44.8%,0.3%,,,
49.8%,54.0%,4.2%,,,
45.3%,50.8%,5.5%,,,
47.2%,40.8%,6.4%,,,
50.0%,65.9%,15.9%,,,
51.0%,54.8%,3.8%,,,
55.9%,55.6%,0.3%,,,
53.7%,50.8%,2.9%,,,
51.4%,51.6%,0.2%,,,
40.9%,39.7%,1.2%,,,
46.6%,45.2%,1.4%,,,
41.3%,36.5%,4.8%,,,
51.1%,60.2%,9.1%,,,
53.2%,48.1%,5.1%,,,
54.4%,53.4%,1.0%,,,
50.7%,45.1%,5.6%,,,
43.8%,34.6%,9.2%,,,
55.9%,60.9%,5.0%,,,
51.3%,40.6%,10.7%,,,
48.2%,49.6%,1.4%,,,
55.2%,54.9%,0.3%,,,
56.4%,51.9%,4.5%,,,
51.0%,59.4%,8.4%,,,
50.5%,42.9%,7.6%,,,
58.0%,63.2%,5.2%,,,
49.4%,44.4%,5.0%,,,
43.7%,39.1%,4.6%,,,
45.7%,36.8%,8.9%,,,
51.8%,56.3%,4.5%,,,
50.8%,52.6%,1.8%,,,
46.8%,46.6%,0.2%,,,
49.7%,61.2%,11.5%,,,
43.2%,45.0%,1.8%,,,
45.0%,54.6%,9.6%,,,
46.3%,45.0%,1.3%,,,
40.4%,38.9%,1.5%,,,
49.4%,61.1%,11.7%,,,
45.9%,54.6%,8.7%,,,
47.6%,48.8%,1.2%,,,
47.7%,46.9%,0.8%,,,
41.1%,44.2%,3.1%,,,
40.3%,40.8%,0.5%,,,
36.1%,51.2%,15.1%,,,
48.1%,52.3%,4.2%,,,
