¿¹Ãø ½Â·ü,½ÇÁ¦ ½Â·ü,¿ÀÂ÷,,,
55.3%,59.1%,3.8%,,Æò±Õ ¿ÀÂ÷,5.3%
60.8%,64.7%,3.9%,,,
61.3%,56.0%,5.3%,,,
52.8%,42.5%,10.3%,,,
61.1%,49.6%,11.5%,,,
49.8%,41.3%,8.5%,,,
46.4%,44.4%,2.0%,,,
54.2%,42.5%,11.7%,,,
64.8%,56.7%,8.1%,,,
59.5%,56.3%,3.2%,,,
60.6%,65.1%,4.5%,,,
59.6%,54.0%,5.6%,,,
50.7%,46.0%,4.7%,,,
47.2%,32.9%,14.3%,,,
57.0%,43.3%,13.7%,,,
50.6%,45.6%,5.0%,,,
53.4%,59.9%,6.5%,,,
52.4%,65.5%,13.1%,,,
49.2%,53.6%,4.4%,,,
45.5%,54.4%,8.9%,,,
45.1%,50.0%,4.9%,,,
49.4%,49.6%,0.2%,,,
37.2%,31.0%,6.2%,,,
41.5%,36.1%,5.4%,,,
59.0%,64.3%,5.3%,,,
50.4%,48.4%,2.0%,,,
52.8%,52.4%,0.4%,,,
46.3%,45.6%,0.7%,,,
48.4%,55.2%,6.8%,,,
51.3%,39.3%,12.0%,,,
49.1%,52.4%,3.3%,,,
48.1%,42.5%,5.6%,,,
56.8%,60.7%,3.9%,,,
57.5%,56.0%,1.5%,,,
51.7%,60.3%,8.6%,,,
54.9%,50.0%,4.9%,,,
47.7%,43.7%,4.0%,,,
47.4%,36.9%,10.5%,,,
44.8%,52.4%,7.6%,,,
48.8%,40.1%,8.7%,,,
48.2%,47.6%,0.6%,,,
50.5%,58.7%,8.2%,,,
50.9%,56.3%,5.4%,,,
46.7%,44.8%,1.9%,,,
51.2%,41.7%,9.5%,,,
49.0%,56.0%,7.0%,,,
48.3%,55.2%,6.9%,,,
44.2%,39.7%,4.5%,,,
59.6%,55.2%,4.4%,,,
57.6%,59.9%,2.3%,,,
54.8%,57.1%,2.3%,,,
56.7%,58.7%,2.0%,,,
47.9%,47.2%,0.7%,,,
43.0%,41.3%,1.7%,,,
49.8%,42.1%,7.7%,,,
43.3%,38.5%,4.8%,,,
53.6%,64.3%,10.7%,,,
50.5%,53.2%,2.7%,,,
55.2%,50.4%,4.8%,,,
46.4%,46.8%,0.4%,,,
46.8%,41.0%,5.8%,,,
48.2%,49.6%,1.4%,,,
45.7%,45.5%,0.2%,,,
45.6%,48.8%,3.2%,,,
54.4%,55.4%,1.0%,,,
58.1%,46.5%,11.6%,,,
56.5%,59.1%,2.6%,,,
55.9%,56.2%,0.3%,,,
57.2%,59.8%,2.6%,,,
59.8%,46.6%,13.2%,,,
57.7%,53.5%,4.2%,,,
42.0%,22.4%,19.6%,,,
58.9%,69.5%,10.6%,,,
52.2%,57.1%,4.9%,,,
57.3%,53.9%,3.4%,,,
44.7%,39.1%,5.6%,,,
53.9%,51.5%,2.4%,,,
48.2%,50.4%,2.2%,,,
48.8%,33.8%,15.0%,,,
48.6%,44.2%,4.4%,,,
57.7%,60.9%,3.2%,,,
54.9%,45.7%,9.2%,,,
61.0%,50.8%,10.2%,,,
46.3%,47.3%,1.0%,,,
55.4%,55.8%,0.4%,,,
52.6%,46.9%,5.7%,,,
52.7%,46.4%,6.3%,,,
50.9%,45.8%,5.1%,,,
59.0%,63.6%,4.6%,,,
47.3%,60.5%,13.2%,,,
