¿¹Ãø ½Â·ü,½ÇÁ¦ ½Â·ü,¿ÀÂ÷,,,
41.2%,40.8%,0.4%,,,
37.7%,51.2%,13.5%,,,
47.0%,52.3%,5.3%,,,
56.4%,56.8%,0.4%,,,
52.9%,59.5%,6.6%,,,
51.0%,57.1%,6.1%,,,
46.5%,49.6%,3.1%,,,
49.6%,57.8%,8.2%,,,
48.1%,40.8%,7.3%,,,
45.9%,53.2%,7.3%,,,
37.0%,33.1%,3.9%,,,
64.5%,61.9%,2.6%,,,
63.4%,62.4%,1.0%,,,
53.5%,46.5%,7.0%,,,
55.2%,48.4%,6.8%,,,
51.2%,45.7%,5.5%,,,
56.9%,55.1%,1.8%,,,
48.8%,42.2%,6.6%,,,
53.6%,49.2%,4.4%,,,
58.7%,61.1%,2.4%,,,
55.6%,59.6%,4.0%,,,
56.1%,54.9%,1.2%,,,
55.5%,54.5%,1.0%,,,
44.9%,46.2%,1.3%,,,
44.7%,48.6%,3.9%,,,
39.7%,36.4%,3.3%,,,
45.2%,47.2%,2.0%,,,
64.2%,65.0%,0.8%,,,
55.0%,57.6%,2.6%,,,
52.5%,53.8%,1.3%,,,
57.2%,45.5%,11.7%,,,
47.2%,45.8%,1.4%,,,
52.0%,49.0%,3.0%,,,
49.4%,50.0%,0.6%,,,
44.5%,47.9%,3.4%,,,
53.8%,59.6%,5.8%,,,
59.4%,60.8%,1.4%,,,
48.1%,56.0%,7.9%,,,
47.1%,48.6%,1.5%,,,
49.0%,52.4%,3.4%,,,
45.8%,56.3%,10.5%,,,
45.4%,43.0%,2.4%,,,
48.7%,39.6%,9.1%,,,
