,score,hit,homerun,fourball,strikeout,OPS
151,637.,1223.,121.,456.,816.,773.
152,731.,1276.,149.,533.,834.,805.
153,773.,1345.,185.,420.,873.,813.
154,681.,1207.,118.,621.,916.,774.
155,688.,1270.,121.,486.,907.,759.
156,704.,1217.,120.,484.,813.,768.
157,611.,1148.,106.,523.,865.,730.
158,570.,1165.,87.,480.,874.,714.
159,543.,1053.,104.,497.,943.,690.
160,713.,1324.,111.,466.,836.,781.
161,627.,1177.,106.,554.,782.,752.
162,614.,1221.,92.,513.,799.,742.
163,625.,1150.,95.,522.,940.,719.
164,579.,1203.,94.,463.,858.,716.
165,584.,1157.,100.,470.,891.,726.
166,568.,1112.,93.,488.,906.,700.
167,512.,1065.,79.,460.,992.,676.
168,628.,1205.,89.,500.,813.,742.
169,564.,1120.,108.,445.,864.,717.
170,553.,1112.,54.,544.,790.,690.
171,549.,1056.,102.,476.,892.,696.
172,544.,1184.,59.,458.,857.,687.
173,509.,1077.,71.,538.,907.,690.
174,509.,1179.,73.,375.,890.,690.
175,524.,1139.,59.,362.,659.,673.
176,699.,1271.,95.,524.,717.,790.
177,669.,1235.,113.,453.,818.,776.
178,646.,1167.,125.,505.,912.,771.
179,588.,1134.,124.,465.,918.,752.
180,616.,1210.,59.,451.,806.,741.
181,587.,1125.,88.,537.,864.,722.
182,556.,1118.,61.,502.,862.,705.
183,480.,1106.,47.,479.,933.,690.
184,841.,1323.,199.,523.,849.,891.
185,812.,1345.,161.,507.,743.,850.
186,687.,1299.,108.,468.,731.,797.
187,735.,1285.,115.,447.,926.,795.
188,716.,1289.,121.,534.,964.,805.
189,737.,1249.,143.,443.,918.,800.
190,662.,1279.,121.,416.,870.,792.
191,667.,1214.,90.,524.,817.,761.
192,897.,1515.,176.,581.,930.,847.
193,904.,1512.,203.,544.,1098.,858.
194,807.,1436.,140.,567.,820.,804.
195,844.,1437.,161.,536.,1023.,822.
196,765.,1393.,177.,532.,1186.,802.
197,693.,1323.,145.,490.,1047.,759.
198,670.,1344.,129.,507.,1112.,748.
199,717.,1316.,130.,581.,1135.,764.
200,935.,1504.,183.,600.,884.,851.
201,857.,1457.,169.,609.,1023.,824.
202,813.,1464.,134.,556.,956.,808.
203,852.,1492.,142.,552.,864.,806.
204,777.,1439.,127.,596.,1061.,793.
205,803.,1429.,170.,499.,997.,810.
206,786.,1464.,118.,523.,982.,779.
207,753.,1464.,182.,429.,1018.,811.
208,849.,1499.,178.,541.,960.,828.
209,906.,1554.,170.,499.,891.,840.
210,786.,1489.,149.,471.,979.,808.
211,789.,1479.,141.,468.,1066.,794.
212,761.,1337.,234.,427.,1100.,806.
213,743.,1425.,151.,457.,1018.,789.
214,737.,1445.,150.,416.,974.,786.
215,757.,1419.,145.,429.,983.,768.
