## 승률은 특징변수들과 정렬순서가 달라 직접 입력하였습니다.,,,,,,,,,,,,,,,,,,
,score,hit,homerun,fourball,strikeout,OPS,winrate,,136,485,704,787,,644,1155,,787,0.591
84,711,1192,169,598,911,791,558,0.558,142,497,774,782,,,,,,
85,683,1263,142,497,774,782,469,0.469,85,590,759,754,,,,,,
86,669,1247,85,590,759,754,464,0.464,113,457,770,728,,,,,,
87,596,1143,113,457,770,728,458,0.458,191,469,804,831,,,,,,
88,777,1321,191,469,804,831,636,0.636,120,454,914,746,,,,,,
89,643,1230,120,454,914,746,605,0.605,158,385,815,772,,,,,,
90,618,1207,158,385,815,772,469,0.469,173,464,945,774,,,,,,
91,658,1160,173,464,945,774,547,0.547,170,446,1064,748,,,,,,
92,603,1148,170,446,1064,748,461,0.461,130,434,794,726,,,,,,
93,587,1173,130,434,794,726,504,0.504,100,412,951,717,,,,,,
94,583,1173,100,412,951,717,520,0.52,85,324,978,661,,,,,,
95,463,1105,85,324,978,661,265,0.265,175,543,727,829,,,,,,
96,723,1280,175,543,727,829,611,0.611,213,481,661,842,,,,,,
97,769,1295,213,481,661,842,589,0.589,129,505,721,765,,,,,,
98,657,1211,129,505,721,765,609,0.609,156,464,763,781,,,,,,
99,644,1208,156,464,763,781,508,0.508,90,452,706,736,,,,,,
100,563,1251,90,452,706,736,435,0.435,121,542,887,736,,,,,,
101,577,1131,121,542,887,736,492,0.492,106,404,781,697,,,,,,
102,509,1088,106,404,781,697,458,0.458,73,338,848,682,,,,,,
103,491,1143,73,338,848,682,300,0.3,134,607,871,783,,,,,,
104,692,1233,134,607,871,783,586,0.586,143,549,693,773,,,,,,
105,643,1182,143,549,693,773,523,0.523,132,460,704,757,,,,,,
106,641,1215,132,460,704,757,584,0.584,138,521,818,768,,,,,,
107,655,1223,138,521,818,768,488,0.488,140,456,923,764,,,,,,
108,632,1213,140,456,923,764,417,0.417,89,433,780,723,,,,,,
109,606,1200,89,433,780,723,530,0.53,102,441,892,716,,,,,,
110,588,1150,102,441,892,716,457,0.457,88,416,853,691,,,,,,
111,533,1125,88,416,853,691,410,0.41,159,400,824,775,,,,,,
112,622,1163,159,400,824,775,512,0.512,111,500,748,749,,,,,,
113,614,1134,111,500,748,749,606,0.606,122,495,806,757,,,,,,
114,589,1139,122,495,806,757,583,0.583,134,458,817,743,,,,,,
115,563,1071,134,458,817,743,430,0.43,105,349,915,717,,,,,,
116,601,1098,105,349,915,717,432,0.432,63,465,701,715,,,,,,
117,596,1147,63,465,701,715,585,0.585,99,430,718,717,,,,,,
118,541,1102,99,430,718,717,391,0.391,83,361,856,694,,,,,,
119,500,1058,83,361,856,694,463,0.463,92,444,628,734,,,,,,
120,547,1104,92,444,628,734,560,0.56,110,442,800,711,,,,,,
121,511,1057,110,442,800,711,540,0.54,99,424,859,704,,,,,,
122,509,1059,99,424,859,704,480,0.48,73,477,689,701,,,,,,
123,538,1043,73,477,689,701,593,0.593,62,390,650,681,,,,,,
124,476,1067,62,390,650,681,520,0.52,55,368,635,676,,,,,,
125,455,1068,55,368,635,676,512,0.512,88,418,815,684,,,,,,
126,488,1034,88,418,815,684,407,0.407,81,330,813,661,,,,,,
127,457,1037,81,330,813,661,385,0.385,112,442,750,744,,,,,,
128,603,1118,112,442,750,744,603,0.603,78,449,748,726,,,,,,
129,578,1103,78,449,748,726,565,0.565,78,431,704,713,,,,,,
130,532,1160,78,431,704,713,483,0.483,76,405,763,717,,,,,,
131,533,1152,76,405,763,717,447,0.447,96,443,653,729,,,,,,
132,530,1154,96,443,653,729,448,0.448,104,506,705,718,,,,,,
133,534,1050,104,506,705,718,540,0.54,86,511,678,706,,,,,,
134,497,1062,86,511,678,706,508,0.508,73,428,630,694,,,,,,
135,499,1080,73,428,630,694,408,0.408,89,491,735,765,,,,,,
136,632,1222,89,491,735,765,659,0.659,93,445,728,761,,,,,,
137,624,1200,93,445,728,761,548,0.548,68,472,719,732,,,,,,
138,647,1198,68,472,719,732,556,0.556,120,463,770,728,,,,,,
139,592,1086,120,463,770,728,508,0.508,92,505,699,720,,,,,,
140,557,1078,92,505,699,720,516,0.516,70,396,713,698,,,,,,
141,499,1149,70,396,713,698,397,0.397,48,453,642,689,,,,,,
142,503,1095,48,453,642,689,452,0.452,66,364,765,674,,,,,,
143,468,1070,66,364,765,674,365,0.365,166,552,892,822,,,,,,
144,732,1303,166,552,892,822,602,0.602,146,584,789,796,,,,,,
145,685,1224,146,584,789,796,481,0.481,120,522,849,781,,,,,,
146,722,1286,120,522,849,781,534,0.534,153,547,905,789,,,,,,
147,683,1219,153,547,905,789,451,0.451,164,498,1017,774,,,,,,
148,657,1241,164,498,1017,774,346,0.346,156,579,890,785,,,,,,
149,706,1191,156,579,890,785,609,0.609,129,552,781,773,,,,,,
150,670,1251,129,552,781,773,406,0.406,121,456,816,773,,,,,,
151,637,1223,121,456,816,773,496,0.496,149,533,834,805,,,,,,
152,731,1276,149,533,834,805,549,0.549,185,420,873,813,,,,,,
153,773,1345,185,420,873,813,519,0.519,118,621,916,774,,,,,,
154,681,1207,118,621,916,774,594,0.594,121,486,907,759,,,,,,
155,688,1270,121,486,907,759,429,0.429,120,484,813,768,,,,,,
156,704,1217,120,484,813,768,632,0.632,106,523,865,730,,,,,,
157,611,1148,106,523,865,730,444,0.444,87,480,874,714,,,,,,
158,570,1165,87,480,874,714,391,0.391,104,497,943,690,,,,,,
159,543,1053,104,497,943,690,368,0.368,111,466,836,781,,,,,,
160,713,1324,111,466,836,781,563,0.563,106,554,782,752,,,,,,
161,627,1177,106,554,782,752,526,0.526,92,513,799,742,,,,,,
162,614,1221,92,513,799,742,466,0.466,95,522,940,719,,,,,,
163,625,1150,95,522,940,719,612,0.612,94,463,858,716,,,,,,
