35.1,644,1155,136,607,787,0.591
31.76,618,1069,144,594,768,0.647
29.69,639,1138,108,593,761,0.56
24.67,554,1041,87,505,717,0.425
21.59,583,1072,73,533,717,0.496
14.99,501,1054,59,458,672,0.413
12.58,426,976,51,395,652,0.444
11.64,472,1009,53,430,658,0.425
32.47,701,1139,138,658,789,0.567
30.33,663,1213,68,619,782,0.563
29.36,658,1120,146,620,782,0.651
26.53,633,1128,124,585,752,0.54
18.03,547,1096,110,511,725,0.46
17.73,508,1015,90,459,711,0.329
17.37,572,1094,108,539,715,0.433
16.47,518,1061,87,464,709,0.456
38.88,613,1169,133,592,752,0.599
30,513,1030,95,465,698,0.655
25.55,496,1069,74,463,689,0.536
23.87,473,1066,59,442,688,0.544
21.34,454,982,81,427,664,0.5
19.11,452,1013,29,422,647,0.496
10.57,342,913,35,314,595,0.31
10.15,366,903,46,342,603,0.361
38.57,655,1204,88,612,767,0.643
27.19,541,1081,106,510,726,0.484
26.55,563,1153,93,534,715,0.524
20.55,489,1072,58,457,680,0.456
18.49,485,988,91,453,681,0.552
17.92,494,1027,87,455,675,0.393
16.46,482,1002,68,444,669,0.524
15.99,477,1013,75,459,662,0.425
29.74,629,1154,106,585,725,0.607
27.29,590,1071,65,552,696,0.56
26.04,527,1064,79,472,706,0.603
23.08,558,1047,94,516,699,0.5
22.98,510,1037,96,477,703,0.437
20.57,476,1054,83,438,683,0.369
16.45,431,989,75,397,654,0.524
16.06,467,965,82,436,650,0.401
29.94,566,1161,72,543,733,0.476
26.12,515,1022,92,510,695,0.587
23.97,545,1085,58,489,709,0.563
23.56,510,1029,88,478,697,0.448
22.28,506,1036,98,499,694,0.417
21.99,522,1000,90,499,699,0.56
20.09,493,1001,106,462,689,0.552
14.21,446,1008,82,410,660,0.397
38.92,722,1194,165,669,819,0.552
27.63,616,1081,133,578,748,0.599
27.61,602,1090,110,565,766,0.571
27.28,590,1109,83,549,737,0.587
19.84,511,1070,84,481,685,0.472
18.23,481,1032,102,445,707,0.413
15.53,497,994,82,459,688,0.421
9.38,434,962,75,411,650,0.385
30.89,633,1123,142,587,778,0.643
28.2,620,1143,143,576,773,0.532
27.2,609,1131,100,567,740,0.504
22.82,536,1089,101,499,725,0.468
19.44,536,1070,86,500,709,0.41
